110,3.10,2.70
115.67,3.30,2.60
99,3.12,2.40
110.2,3.39,2.40
100,3.18,2.40
100.33,3.30,2.20
106.33,3.49,2.10
239,2.60,6.90
230.67,3.00,5.60
220.33,3.07,5.20
207,3.18,4.60
210.67,3.28,4.50
227.67,3.40,4.50
200.33,3.34,4.10
194.33,3.99,2.60
191.67,3.96,2.60
199,4.05,2.50
206.1,4.17,2.40
215,4.27,2.20
